Table 8,,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2009 ",,,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,
Madison,"16,073",14,0,1,4,9,131,18,106,7,1,
Magnolia,"4,321",23,0,2,8,13,94,27,60,7,0,
Mahwah Township,"24,180",6,0,0,1,5,147,16,126,5,0,
Manalapan Township,"39,615",22,0,2,9,11,387,90,272,25,2,
Manasquan,"6,243",7,0,1,0,6,128,18,110,0,0,
Manchester Township,"41,921",17,0,0,6,11,383,92,282,9,4,
"Mansfield Township, Burlington County","8,373",7,3,0,1,3,129,16,106,7,0,
"Mansfield Township, Warren County","8,123",16,2,1,1,12,122,16,102,4,1,
Mantoloking,455,0,0,0,0,0,19,1,18,0,0,
Mantua Township,"15,285",22,0,2,13,7,264,45,214,5,3,
Manville,"10,863",6,0,0,2,4,228,22,188,18,2,
Maple Shade Township,"19,165",24,0,6,5,13,467,82,351,34,0,
Maplewood Township,"21,795",57,0,4,27,26,406,67,299,40,2,
Margate City,"8,536",5,0,1,1,3,250,54,191,5,0,
Marlboro Township,"41,009",27,0,2,9,16,360,90,248,22,0,
Matawan,"8,735",14,0,0,1,13,122,49,65,8,0,
Maywood,"9,104",5,0,0,1,4,80,26,48,6,0,
Medford Lakes,"4,097",0,0,0,0,0,65,9,56,0,0,
Medford Township,"22,872",5,0,0,0,5,282,65,212,5,3,
Mendham,"5,048",1,0,0,0,1,21,3,17,1,0,
Mendham Township,"5,513",1,0,0,0,1,32,2,30,0,0,
Merchantville,"3,760",4,0,0,1,3,74,18,55,1,0,
Metuchen,"13,121",12,0,0,4,8,240,47,183,10,0,
Middlesex,"13,634",15,0,2,3,10,105,23,78,4,1,
Middle Township,"16,263",65,0,10,10,45,607,155,431,21,3,
Middletown Township,"66,565",50,0,5,11,34,768,148,599,21,0,
Midland Park,"6,743",2,0,0,2,0,68,9,59,0,1,
Millburn Township,"18,418",22,0,0,6,16,510,66,434,10,1,
Milltown,"6,959",9,0,2,3,4,120,12,105,3,1,
Millville,"29,175",203,2,8,70,123,"1,256",364,840,52,5,
Mine Hill Township,"3,577",0,0,0,0,0,23,10,13,0,0,
Monmouth Beach,"3,566",2,0,0,0,2,42,4,37,1,0,
"Monroe Township, Gloucester County","33,420",58,0,4,16,38,789,204,551,34,1,
"Monroe Township, Middlesex County","38,264",13,0,0,1,12,245,43,190,12,1,
Montclair,"36,788",89,0,1,48,40,535,157,352,26,6,
Montgomery Township1,"23,524",1,0,0,0,1,,,125,6,2,
Montvale,"7,625",2,0,0,1,1,55,6,44,5,0,
Montville Township,"21,078",8,0,2,1,5,159,30,125,4,1,
Moonachie,"2,722",4,0,0,0,4,64,16,40,8,0,
Moorestown Township,"19,559",18,0,2,10,6,596,61,519,16,0,
Morris Plains,"6,050",3,0,0,1,2,101,6,94,1,0,
Morristown,"19,351",80,0,2,30,48,475,79,378,18,1,
Morris Township,"21,214",19,1,3,2,13,147,38,96,13,0,
Mountain Lakes,"4,276",2,0,0,1,1,63,2,61,0,0,
Mountainside,"6,545",5,0,0,4,1,53,9,41,3,0,
Mount Arlington,"5,968",1,0,0,0,1,62,11,50,1,0,
Mount Ephraim,"4,381",6,0,2,3,1,113,21,86,6,0,
Mount Holly Township,"10,195",39,0,0,19,20,271,31,231,9,1,
Mount Laurel Township,"39,071",34,0,9,13,12,729,109,600,20,2,
Mount Olive Township,"25,989",14,0,3,1,10,284,38,235,11,1,
Mullica Township,"6,032",13,0,1,1,11,88,28,49,11,0,
National Park,"3,230",13,0,2,1,10,68,15,49,4,0,
Neptune City,"5,100",15,1,0,7,7,175,26,146,3,0,
Neptune Township,"28,484",191,2,8,72,109,"1,713",380,"1,273",60,6,
Netcong,"3,221",2,0,1,0,1,69,19,50,0,0,
Newark,"279,203","2,597",80,68,"1,319","1,130","8,822","1,947","3,781","3,094",85,
New Brunswick,"51,474",389,5,21,152,211,"1,754",510,"1,124",120,8,
Newfield,"1,675",0,0,0,0,0,20,8,11,1,0,
New Hanover Township,"9,442",0,0,0,0,0,7,3,4,0,2,
New Milford,"15,898",3,0,0,0,3,121,24,95,2,0,
New Providence,"11,904",2,0,0,1,1,82,4,76,2,0,
Newton,"8,079",10,1,0,3,6,145,18,126,1,0,
North Arlington,"14,648",12,0,1,4,7,180,35,125,20,0,
North Bergen Township,"54,948",107,0,5,45,57,865,155,582,128,5,
North Brunswick Township,"39,904",79,1,3,33,42,796,151,561,84,0,
